aedj,1,9000
agjg,1,5200
aifj,1,8700
bibd,1,9700
cifb,1,6900
dbid,1,9200
eiej,1,8900
hfda,1,7800
hhea,1,600
icea,1,1300
jacb,1,9700
cgdg,2,9001
chbc,2,1501
cjge,2,8501
dcbc,2,2301
djai,2,5501
edhj,2,1901
jiji,2,2501
jjfd,2,8501
aidi,3,2602
hhic,3,8602
jahj,3,1802
jeca,3,1502
cfgf,4,2503
dcdd,4,7003
fbbi,4,9803
fejd,4,7603
gcdc,4,4203
hbfc,4,1703
iehb,4,5803
ighg,4,3203
jffe,4,4403
bgce,5,4204
bgjc,5,8404
eeib,5,4104
fefb,5,4904
gbaj,5,4004
iaae,5,2604
adba,6,9005
baca,6,7205
cfbi,6,3405
faba,6,8005
ffcc,6,1105
ibed,6,2405
ihgi,6,8905
iidj,6,4705
iiig,6,5
ijid,6,7605
ijjj,6,6705
jjag,6,6705
jjhe,6,8105
ahda,7,3206
bfdc,7,3506
cagj,7,4506
cbjc,7,5306
cdib,7,806
djde,7,6806
edie,7,1706
faij,7,7206
hbgi,7,6106
hfjd,7,6306
ifhj,7,5706
jbde,7,9106
bahi,8,3107
bcae,8,2407
cjbh,8,5307
cjja,8,4307
dfaj,8,4507
eadf,8,8507
fice,8,2907
gdjc,8,2707
ifdh,8,2607
jiaj,8,3907
aeee,9,2108
agbc,9,4008
bggg,9,9708
bide,9,9608
cccb,9,4508
cfcd,9,5408
cfha,9,1808
fbac,9,4808
fbig,9,1908
gdhb,9,3008
hebc,9,8
acjh,10,509
eeai,10,9709
feae,10,2009
fgea,10,2209
gcbb,10,4409
gefi,10,809
ggaf,10,5009
bagc,11,9910
bjcg,11,6010
dbhi,11,5710
dicb,11,7010
eddh,11,410
eihf,11,7310
gifh,11,8810
ibfj,11,1810
abhj,12,4211
acbd,12,1411
bdfj,12,811
cfjb,12,9611
dgdc,12,4911
ecbj,12,9111
ecef,12,9211
fjaa,12,6711
heci,12,6011
hiag,12,3311
